#Time(s) flow thruput(Mb/s)
5s 0 73.4194
5s 1 67.9981
5s 2 76.5355
5s 3 71.566
5s 4 69.8284
5s 5 74.9832
5s 6 68.8437
5s 7 75.0875
5s 8 67.3146
5s 9 72.4
