#Time(s) qlen(pkts) qlen(us)
4.00 75 900
4.01 61 732
4.02 72 864
4.03 68 816
4.04 70 840
4.05 74 888
4.06 71 852
4.07 74 888
4.08 77 924
4.09 75 900
4.10 75 900
4.11 81 972
4.12 78 936
4.13 80 960
4.14 78 936
4.15 79 948
4.16 81 972
4.17 71 852
4.18 75 900
4.19 74 888
4.20 72 864
4.21 67 804
4.22 64 768
4.23 83 996
4.24 82 984
4.25 66 792
4.26 74 888
4.27 70 840
4.28 77 924
4.29 73 876
4.30 71 852
4.31 82 984
4.32 77 924
4.33 87 1044
4.34 68 816
4.35 77 924
4.36 75 900
4.37 75 900
4.38 80 960
4.39 83 996
4.40 67 804
4.41 73 876
4.42 74 888
4.43 74 888
4.44 67 804
4.45 76 912
4.46 66 792
4.47 74 888
4.48 68 816
4.49 72 864
4.50 71 852
4.51 80 960
4.52 71 852
4.53 85 1020
4.54 77 924
4.55 63 756
4.56 73 876
4.57 82 984
4.58 75 900
4.59 71 852
4.60 61 732
4.61 76 912
4.62 80 960
4.63 70 840
4.64 77 924
4.65 75 900
4.66 70 840
4.67 78 936
4.68 72 864
4.69 80 960
4.70 66 792
4.71 85 1020
4.72 77 924
4.73 78 936
4.74 72 864
4.75 74 888
4.76 77 924
4.77 73 876
4.78 67 804
4.79 84 1008
4.80 76 912
4.81 72 864
4.82 63 756
4.83 78 936
4.84 86 1032
4.85 76 912
4.86 69 828
4.87 78 936
4.88 82 984
4.89 79 948
4.90 69 828
4.91 68 816
4.92 76 912
4.93 70 840
4.94 79 948
4.95 69 828
4.96 68 816
4.97 74 888
4.98 81 972
4.99 78 936
5.00 80 960
