-40	-70	1.5	-12.7302	-12.7302	-111.977	0	
-40	-67.6	1.5	-18.1481	-18.1481	-113.669	0	
-40	-65.2	1.5	-16.9838	-16.9838	-100.849	0	
-40	-62.8	1.5	-19.2137	-19.2137	-109.808	0	
-40	-60.4	1.5	-5.08317	-5.08317	-105.114	0	
-40	-58	1.5	-17.586	-17.586	-109.322	0	
-40	-55.6	1.5	-14.6965	-14.6965	-104.744	0	
-40	-53.2	1.5	-15.0548	-15.0548	-112.555	0	
-40	-50.8	1.5	1.47634	1.47634	-98.5943	0	
-40	-48.4	1.5	6.67608	6.67608	-113.133	0	
-40	-46	1.5	-15.3907	-15.3907	-112.186	0	
-40	-43.6	1.5	-13.8093	-13.8093	-112.376	0	
-40	-41.2	1.5	-12.033	-12.033	-111.048	0	
-40	-38.8	1.5	-13.0656	-13.0656	-94.758	0	
-40	-36.4	1.5	-5.90318	-5.90318	-106.331	0	
-40	-34	1.5	-12.9121	-12.9121	-107.537	0	
-40	-31.6	1.5	6.61818	6.61818	-109.814	0	
-40	-29.2	1.5	-1.23134	-1.23134	-98.9681	0	
-40	-26.8	1.5	-10.3611	-10.3611	-102.479	0	
-40	-24.4	1.5	-11.1256	-11.1256	-95.0619	0	
-40	-22	1.5	-8.06856	-8.06856	-106.752	0	
-40	-19.6	1.5	-9.58373	-9.58373	-105.213	0	
-40	-17.2	1.5	-9.91217	-9.91217	-105.539	0	
-40	-14.8	1.5	-9.34775	-9.34775	-105.235	0	
-40	-12.4	1.5	-10.7924	-10.7924	-104.008	0	
-40	-10	1.5	-8.38992	-8.38992	-105.922	0	
-40	-7.6	1.5	15.5457	15.5457	-103.951	0	
-40	-5.2	1.5	-4.88571	-4.88571	-104.815	0	
-40	-2.8	1.5	-7.8163	-7.8163	-102.402	0	
-40	-0.4	1.5	-9.65454	-9.65454	-104.46	0	
-40	2	1.5	-9.0012	-9.0012	-103.432	0	
-40	4.4	1.5	-8.66587	-8.66587	-94.8325	0	
-40	6.8	1.5	-11.6242	-11.6242	-104.422	0	
-40	9.2	1.5	-10.5527	-10.5527	-106.211	0	
-40	11.6	1.5	-11.3922	-11.3922	-100.091	0	
-40	14	1.5	-8.88196	-8.88196	-105.216	0	
-40	16.4	1.5	-11.9803	-11.9803	-101.676	0	
-40	18.8	1.5	-6.52842	-6.52842	-94.818	0	
-40	21.2	1.5	-7.1684	-7.1684	-112.038	0	
-40	23.6	1.5	-15.1401	-15.1401	-102.787	0	
-40	26	1.5	-0.929319	-0.929319	-105.411	0	
