Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
3.5713e-05	2	0	0	0	-nan
3.5713e-05	2	0	0	0	-nan
3.5713e-05	4	0	2	0	-nan
3.5713e-05	4	0	2	0	-nan
3.5713e-05	5	0	3	0	-nan
3.5713e-05	21	0	1	0	-nan
3.5713e-05	21	0	1	0	-nan
3.5713e-05	23	0	3	0	-nan
3.5713e-05	24	0	4	0	-nan
3.5713e-05	24	0	4	0	-nan
0.00503571	2	0	0	0	nan
0.00503571	2	0	0	0	nan
0.00503571	4	0	2	0	-nan
0.00503571	4	0	2	0	-nan
0.00503571	5	0	3	0	-nan
0.00503571	21	0	1	0	-nan
0.00503571	21	0	1	0	-nan
0.00503571	23	0	3	0	-nan
0.00503571	24	0	4	0	-nan
0.00503571	24	0	4	0	-nan
0.0100357	2	0	0	0	nan
0.0100357	2	0	0	0	nan
0.0100357	4	0	2	0	-nan
0.0100357	4	0	2	0	-nan
0.0100357	5	0	3	0	-nan
0.0100357	21	0	1	0	-nan
0.0100357	21	0	1	0	-nan
0.0100357	23	0	3	0	-nan
0.0100357	24	0	4	0	-nan
0.0100357	24	0	4	0	-nan
0.0150357	2	0	0	0	nan
0.0150357	2	0	0	0	nan
0.0150357	4	0	2	0	-nan
0.0150357	4	0	2	0	-nan
0.0150357	5	0	3	0	-nan
0.0150357	21	0	1	0	-nan
0.0150357	21	0	1	0	-nan
0.0150357	23	0	3	0	-nan
0.0150357	24	0	4	0	-nan
0.0150357	24	0	4	0	-nan
0.0180357	2	0	0	0	nan
0.0180357	2	0	0	0	nan
0.0180357	4	0	2	0	-nan
0.0180357	4	0	2	0	-nan
0.0180357	5	0	3	0	-nan
0.0180357	21	0	1	0	-nan
0.0180357	21	0	1	0	-nan
0.0180357	23	0	3	0	-nan
0.0180357	24	0	4	0	-nan
0.0180357	24	0	4	0	-nan
