#Time(s) flow thruput(Mb/s)
5s 0 470.09
5s 1 478.269
5s 2 474.434
5s 3 455.877
5s 4 470.241
5s 5 466.268
5s 6 470.913
5s 7 476.253
5s 8 459.12
5s 9 473.786
5s 10 467.136
5s 11 471.422
5s 12 476.601
5s 13 471.376
5s 14 482.543
5s 15 476.322
5s 16 472.998
5s 17 455.819
5s 18 468.573
5s 19 461.182
