Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0	1	0	0	1	0	-123.615
0	1	0	0	2	0	-123.687
0	1	2	0	5	0	-123.822
0	1	2	0	6	0	-123.822
0	1	3	0	7	0	-123.898
0	19	1	0	3	0	-152.148
0	19	1	0	4	0	-152.387
0	19	3	0	8	0	-152.295
0	19	4	0	9	0	-152.133
0	19	4	0	10	0	-152.376
0.005	1	0	0	1	0	-123.615
0.005	1	0	0	2	0	-123.687
0.005	1	2	0	5	0	-123.822
0.005	1	2	0	6	0	-123.822
0.005	1	3	0	7	0	-123.898
0.005	19	1	0	3	0	-152.148
0.005	19	1	0	4	0	-152.387
0.005	19	3	0	8	0	-152.295
0.005	19	4	0	9	0	-152.133
0.005	19	4	0	10	0	-152.376
0.01	1	0	0	1	0	-123.615
0.01	1	0	0	2	0	-123.687
0.01	1	2	0	5	0	-123.822
0.01	1	2	0	6	0	-123.822
0.01	1	3	0	7	0	-123.898
0.01	19	1	0	3	0	-152.148
0.01	19	1	0	4	0	-152.387
0.01	19	3	0	8	0	-152.295
0.01	19	4	0	9	0	-152.133
0.01	19	4	0	10	0	-152.376
0.015	1	0	0	1	0	-123.615
0.015	1	0	0	2	0	-123.687
0.015	1	2	0	5	0	-123.822
0.015	1	2	0	6	0	-123.822
0.015	1	3	0	7	0	-123.898
0.015	19	1	0	3	0	-152.148
0.015	19	1	0	4	0	-152.387
0.015	19	3	0	8	0	-152.295
0.015	19	4	0	9	0	-152.133
0.015	19	4	0	10	0	-152.376
0.018	1	0	0	1	0	-123.615
0.018	1	0	0	2	0	-123.687
0.018	1	2	0	5	0	-123.822
0.018	1	2	0	6	0	-123.822
0.018	1	3	0	7	0	-123.898
0.018	19	1	0	3	0	-152.148
0.018	19	1	0	4	0	-152.387
0.018	19	3	0	8	0	-152.295
0.018	19	4	0	9	0	-152.133
0.018	19	4	0	10	0	-152.376
