Time,EventType,Data
0,node_position,{"nodeId":0,"nodeType":"satellite_gNB","x":4.5088e-13,"y":4.5088e-13,"z":7363.42}
0,node_position,{"nodeId":1,"nodeType":"satellite_gNB","x":-4336.09,"y":3.64754e-13,"z":5954.38}
0,node_position,{"nodeId":2,"nodeType":"satellite_gNB","x":-7014.77,"y":1.38829e-13,"z":2264.75}
0,node_position,{"nodeId":3,"nodeType":"satellite_gNB","x":-7010.36,"y":-1.40573e-13,"z":-2293.21}
0,node_position,{"nodeId":4,"nodeType":"satellite_gNB","x":-4328.98,"y":-3.65984e-13,"z":-5974.48}
0,node_position,{"nodeId":5,"nodeType":"satellite_gNB","x":-1.18653e-12,"y":-4.51794e-13,"z":-7378.36}
0,node_position,{"nodeId":6,"nodeType":"satellite_gNB","x":4328.98,"y":-3.65984e-13,"z":-5974.48}
0,node_position,{"nodeId":7,"nodeType":"satellite_gNB","x":7010.36,"y":-1.40573e-13,"z":-2293.21}
0,node_position,{"nodeId":8,"nodeType":"satellite_gNB","x":7014.77,"y":1.38829e-13,"z":2264.75}
0,node_position,{"nodeId":9,"nodeType":"satellite_gNB","x":4336.09,"y":3.64754e-13,"z":5954.38}
0,node_position,{"nodeId":0,"nodeType":"terrestrial_gNB","x":111.314,"y":0,"z":-6355.8}
0,node_position,{"nodeId":1,"nodeType":"terrestrial_gNB","x":78.711,"y":78.711,"z":-6355.8}
0,node_position,{"nodeId":2,"nodeType":"terrestrial_gNB","x":6.81602e-15,"y":111.314,"z":-6355.8}
0,node_position,{"nodeId":3,"nodeType":"terrestrial_gNB","x":-78.711,"y":78.711,"z":-6355.8}
0,node_position,{"nodeId":4,"nodeType":"terrestrial_gNB","x":-111.314,"y":1.3632e-14,"z":-6355.8}
0,node_position,{"nodeId":5,"nodeType":"terrestrial_gNB","x":-78.711,"y":-78.711,"z":-6355.8}
0,node_position,{"nodeId":6,"nodeType":"terrestrial_gNB","x":-2.04481e-14,"y":-111.314,"z":-6355.8}
0,node_position,{"nodeId":7,"nodeType":"terrestrial_gNB","x":78.711,"y":-78.711,"z":-6355.8}
0,node_position,{"nodeId":8,"nodeType":"terrestrial_gNB","x":111.314,"y":-2.72641e-14,"z":-6355.8}
0,node_position,{"nodeId":9,"nodeType":"terrestrial_gNB","x":6336.96,"y":702.618,"z":-172.317}
0,node_position,{"nodeId":0,"nodeType":"UE","x":3.89239e-13,"y":0,"z":6356.75}
0,node_position,{"nodeId":1,"nodeType":"UE","x":111.314,"y":0,"z":6355.79}
0,node_position,{"nodeId":0,"nodeType":"UE","x":3.89239e-13,"y":0,"z":-6356.75}
0,node_position,{"nodeId":1,"nodeType":"UE","x":111.314,"y":0,"z":-6355.79}
0,node_position,{"nodeId":0,"nodeType":"UE","x":6.81601e-15,"y":111.314,"z":6355.79}
0,node_position,{"nodeId":1,"nodeType":"UE","x":-111.314,"y":1.3632e-14,"z":6355.79}
0,node_position,{"nodeId":0,"nodeType":"UE","x":6.81601e-15,"y":-111.314,"z":6355.79}
0,node_position,{"nodeId":1,"nodeType":"UE","x":6.81601e-15,"y":111.314,"z":-6355.79}
0,node_position,{"nodeId":0,"nodeType":"UE","x":-111.314,"y":1.3632e-14,"z":-6355.79}
0,node_position,{"nodeId":1,"nodeType":"UE","x":6.81601e-15,"y":-111.314,"z":-6355.79}
0,connection,{"ueId":0,"cellId":1,"imsi":1}
0,connection,{"ueId":1,"cellId":1,"imsi":2}
0,connection,{"ueId":2,"cellId":25,"imsi":3}
0,connection,{"ueId":3,"cellId":25,"imsi":4}
0,connection,{"ueId":4,"cellId":1,"imsi":5}
0,connection,{"ueId":5,"cellId":1,"imsi":6}
0,connection,{"ueId":6,"cellId":1,"imsi":7}
0,connection,{"ueId":7,"cellId":37,"imsi":8}
0,connection,{"ueId":8,"cellId":43,"imsi":9}
0,connection,{"ueId":9,"cellId":25,"imsi":10}
0.1,node_position,{"nodeId":0,"nodeType":"satellite_gNB","x":4.5088e-13,"y":4.5088e-13,"z":7363.42}
0.1,node_position,{"nodeId":1,"nodeType":"satellite_gNB","x":-4336.09,"y":3.64754e-13,"z":5954.38}
0.1,node_position,{"nodeId":2,"nodeType":"satellite_gNB","x":-7014.77,"y":1.38829e-13,"z":2264.75}
0.1,node_position,{"nodeId":3,"nodeType":"satellite_gNB","x":-7010.36,"y":-1.40573e-13,"z":-2293.21}
0.1,node_position,{"nodeId":4,"nodeType":"satellite_gNB","x":-4328.98,"y":-3.65984e-13,"z":-5974.48}
0.1,node_position,{"nodeId":5,"nodeType":"satellite_gNB","x":-1.18653e-12,"y":-4.51794e-13,"z":-7378.36}
0.1,node_position,{"nodeId":6,"nodeType":"satellite_gNB","x":4328.98,"y":-3.65984e-13,"z":-5974.48}
0.1,node_position,{"nodeId":7,"nodeType":"satellite_gNB","x":7010.36,"y":-1.40573e-13,"z":-2293.21}
0.1,node_position,{"nodeId":8,"nodeType":"satellite_gNB","x":7014.77,"y":1.38829e-13,"z":2264.75}
0.1,node_position,{"nodeId":9,"nodeType":"satellite_gNB","x":4336.09,"y":3.64754e-13,"z":5954.38}
0.1,node_position,{"nodeId":0,"nodeType":"terrestrial_gNB","x":111.314,"y":0,"z":-6355.8}
0.1,node_position,{"nodeId":1,"nodeType":"terrestrial_gNB","x":78.711,"y":78.711,"z":-6355.8}
0.1,node_position,{"nodeId":2,"nodeType":"terrestrial_gNB","x":6.81602e-15,"y":111.314,"z":-6355.8}
0.1,node_position,{"nodeId":3,"nodeType":"terrestrial_gNB","x":-78.711,"y":78.711,"z":-6355.8}
