Time,NodeId,X,Y,Z
0,0,4.5088e-13,4.5088e-13,7363.42
0,1,-4336.09,3.64754e-13,5954.38
0,2,-7014.77,1.38829e-13,2264.75
0,3,-7010.36,-1.40573e-13,-2293.21
0,4,-4328.98,-3.65984e-13,-5974.48
0,5,-1.18653e-12,-4.51794e-13,-7378.36
0,6,4328.98,-3.65984e-13,-5974.48
0,7,7010.36,-1.40573e-13,-2293.21
0,8,7014.77,1.38829e-13,2264.75
0,9,4336.09,3.64754e-13,5954.38
0,10,111.314,0,-6355.8
0,11,78.711,78.711,-6355.8
0,12,6.81602e-15,111.314,-6355.8
0,13,-78.711,78.711,-6355.8
0,14,-111.314,1.3632e-14,-6355.8
0,15,-78.711,-78.711,-6355.8
0,16,-2.04481e-14,-111.314,-6355.8
0,17,78.711,-78.711,-6355.8
0,18,111.314,-2.72641e-14,-6355.8
0,19,6336.96,702.618,-172.317
0,1000,3.89239e-13,0,6356.75
0,1001,111.314,0,6355.79
0,1000,3.89239e-13,0,-6356.75
0,1001,111.314,0,-6355.79
0,1000,6.81601e-15,111.314,6355.79
0,1001,-111.314,1.3632e-14,6355.79
0,1000,6.81601e-15,-111.314,6355.79
0,1001,6.81601e-15,111.314,-6355.79
0,1000,-111.314,1.3632e-14,-6355.79
0,1001,6.81601e-15,-111.314,-6355.79
0,0,4.5088e-13,4.5088e-13,7363.42
0,1,-4336.09,3.64754e-13,5954.38
0,2,-7014.77,1.38829e-13,2264.75
0,3,-7010.36,-1.40573e-13,-2293.21
0,4,-4328.98,-3.65984e-13,-5974.48
0,5,-1.18653e-12,-4.51794e-13,-7378.36
0,6,4328.98,-3.65984e-13,-5974.48
0,7,7010.36,-1.40573e-13,-2293.21
0,8,7014.77,1.38829e-13,2264.75
0,9,4336.09,3.64754e-13,5954.38
0,20,111.314,0,-6355.8
0,21,78.711,78.711,-6355.8
0,22,6.81602e-15,111.314,-6355.8
0,23,-78.711,78.711,-6355.8
0,24,-111.314,1.3632e-14,-6355.8
0,25,-78.711,-78.711,-6355.8
0,26,-2.04481e-14,-111.314,-6355.8
0,27,78.711,-78.711,-6355.8
0,28,111.314,-2.72641e-14,-6355.8
0,29,6336.96,702.618,-172.317
0,1000,3.89239e-13,0,6356.75
0,1001,111.314,0,6355.79
0,1002,3.89239e-13,0,-6356.75
0,1003,111.314,0,-6355.79
0,1004,6.81601e-15,111.314,6355.79
0,1005,-111.314,1.3632e-14,6355.79
0,1006,6.81601e-15,-111.314,6355.79
0,1007,6.81601e-15,111.314,-6355.79
0,1008,-111.314,1.3632e-14,-6355.79
0,1009,6.81601e-15,-111.314,-6355.79
0.1,0,4.5088e-13,4.5088e-13,7363.42
0.1,1,-4336.09,3.64754e-13,5954.38
